,by,descendants,id,score,time,title,type,url,kids,text
0,selvan,0.0,38050106,15,1698503579,MagicaVoxel – A free voxel art editor and interactive path tracing renderer,story,https://ephtracy.github.io/,,
1,fofoz,184.0,38048155,208,1698481473,Google to invest up to $2B in Anthropic,story,https://www.reuters.com/technology/google-agrees-invest-up-2-bln-openai-rival-anthropic-wsj-2023-10-27/,"[38050293, 38048482, 38049704, 38050217, 38048598, 38049889, 38048644, 38049324, 38049500, 38050255, 38049751, 38048529, 38050020, 38049331, 38048901, 38049478, 38048502, 38048814, 38048717, 38048615, 38048533, 38048517, 38048609, 38049147, 38048604]",
2,syx,53.0,38047861,223,1698477392,The fun factor of the video game Uplink,story,https://vertette.github.io/post/funfactoruplink,"[38049111, 38048879, 38048888, 38048248, 38050002, 38048144, 38048172, 38050130, 38049734, 38049283, 38049713, 38049919, 38048977, 38049020, 38048321, 38048262, 38049308, 38047989, 38048160, 38047993, 38048443, 38048738, 38048153, 38048013]",
3,1970-01-01,2.0,38018429,18,1698268215,DM1 by Colin Skelton (2015) [pdf],story,http://www.bitsandbytes.shedlandz.co.uk/CS_DM1-1.pdf,"[38048037, 38048600]",
4,chmaynard,60.0,38047743,123,1698475914,Cortex X2: ARM aims high,story,https://chipsandcheese.com/2023/10/27/cortex-x2-arm-aims-high/,"[38049604, 38048993, 38050111, 38049006, 38048786, 38047961, 38048500, 38047834]",
5,kavinaidoo,15.0,38048401,53,1698485111,Magnetically Modelling MagSafe,story,https://kavi.sblmnl.co.za/magnetically-modelling-magsafe/,"[38048822, 38048804, 38049415, 38049110, 38049574]",
6,luu,10.0,38045262,76,1698449175,Writing for Professional and Technical Audiences,story,https://pnewman.org/writing.html,"[38050077, 38049913, 38048925, 38049868, 38049245, 38049756, 38049254]",
7,luu,30.0,38044997,122,1698446905,Algebra,story,https://www.feynmanlectures.caltech.edu/I_22.html,"[38049250, 38049092, 38048990, 38049265, 38045140, 38049619, 38049504, 38045000]",
8,zzzeek,12.0,38049790,18,1698501131,A.I. Muddies Israel-Hamas War in Unexpected Way,story,https://www.nytimes.com/2023/10/28/business/media/ai-muddies-israel-hamas-war-in-unexpected-way.html,"[38050160, 38050229, 38049805, 38050242, 38050093, 38050224]",
9,signa11,87.0,38046448,138,1698459211,A small warning about UDP based protocols,story,https://boston.conman.org/2023/10/25.1,"[38048267, 38047665, 38048877, 38049319, 38047074, 38050095, 38049539, 38047019, 38049776, 38048376, 38048018, 38046988, 38049394, 38049419, 38046964, 38047129, 38047555]",
10,ingve,2.0,38049287,11,1698495986,Where is my file's metadata?,story,https://eclecticlight.co/2023/10/28/where-is-my-files-metadata/,"[38050266, 38049650]",
11,zdw,2.0,38042918,18,1698435408,Kubernetes and Kernel Panics,story,https://netflixtechblog.com/kubernetes-and-kernel-panics-ed620b9c6225?gi=2e8a65263c94,"[38050257, 38050212]",
12,dloss,8.0,38048148,15,1698481366,Kurtosis: A composable build system for reproducible environments,story,https://www.kurtosis.com/,"[38049950, 38049533]",
13,PaulHoule,0.0,38050010,4,1698502813,Webb discovers new feature in Jupiter's atmosphere,story,https://phys.org/news/2023-10-webb-feature-jupiter-atmosphere.html,,
14,prismatic,0.0,38044757,35,1698445228,The Mystic Art of Gardening,story,https://aeon.co/essays/a-rebel-spirit-and-an-artists-eye-russell-pages-landscape-design,,
15,kevinak,64.0,38047872,103,1698477556,WinterJS,story,https://wasmer.io/posts/announcing-winterjs-service-workers,"[38048196, 38048145, 38048088, 38049477, 38049542, 38048843, 38049827, 38048356, 38048096, 38048319, 38048062, 38048880, 38048041]",
